,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,dien_tich,huong_ban_cong,phong_ngu,id_thanh_pho,ten_thanh_pho,id_quan,ten_quan,so_tang,mat_tien,noi_that,huong_nha,so_do,lat,long,gia,gia_m2,du_an,project_name,id_duong,ten_duong,do_rong_duong,do_rong_duong_ml,id_phuong,ten_phuong
0,0,32575,32575,46.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,7.0,5.0,,KXĐ,0,21.009967,105.823136,18500.0,402.1739130434783,,,5e958eea208d0d6d7648fdd0,23,30.0,Mặt phố - Mặt đường,,
1,3,32809,32809,85.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,4.0,,KXĐ,0,21.019366899999998,105.80743819999999,16000.0,188.2352941176471,,,5e958eea208d0d6d7648fdca,19,9.0,Mặt phố - Mặt đường,,
2,4,32848,32848,45.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,6.0,4.5,,KXĐ,0,21.017649,105.830046,12800.0,284.4444444444445,,,5e958eea208d0d6d7648fdc6,16,9.0,Mặt phố - Mặt đường,,
3,6,32910,32910,80.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,6.0,5.0,,KXĐ,0,21.017649,105.830046,22500.0,281.25,,,5e958eea208d0d6d7648fd8c,56,25.0,Mặt phố - Mặt đường,,
4,7,32911,32911,68.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,7.0,4.2,,KXĐ,0,21.017649,105.830046,20000.0,294.11764705882354,,,5e958eea208d0d6d7648fd9f,71,15.0,Mặt phố - Mặt đường,,
5,9,32988,32988,60.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,7.0,8.0,,KXĐ,0,21.017649,105.830046,28000.0,466.66666666666674,,,5e958eea208d0d6d7648fd84,51,25.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e129,Phường Nam Đồng
6,12,33089,33089,99.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,6.0,7.0,,KXĐ,0,21.017649,105.830046,29000.0,292.92929292929296,,,5e958eea208d0d6d7648fdbc,6,10.0,Mặt phố - Mặt đường,,
7,21,33129,33129,59.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,6.0,4.2,,KXĐ,0,21.017649,105.830046,7600.0,128.8135593220339,,,5e958eea208d0d6d7648fdc0,13,3.0,Mặt phố - Mặt đường,,
8,22,33130,33130,71.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,7.0,5.0,,KXĐ,0,21.017649,105.830046,26500.0,373.23943661971833,,,5e958eea208d0d6d7648fdcc,21,45.0,Mặt phố - Mặt đường,,
9,25,33161,33161,63.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,4.0,5.3,,KXĐ,0,21.009967,105.823136,15500.0,246.031746031746,,,5e958eea208d0d6d7648fd97,76,60.0,Mặt phố - Mặt đường,,
10,26,33162,33162,53.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,7.0,5.0,,KXĐ,0,21.009967,105.823136,24500.0,462.2641509433962,,,5e958eea208d0d6d7648fd90,60,10.0,Mặt phố - Mặt đường,,
11,27,33182,33182,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,5.2,,Tây-Bắc,0,21.017649,105.830046,20500.0,410.0,,,5e958eea208d0d6d7648fd8a,52,20.0,Mặt phố - Mặt đường,,
12,28,33183,33183,85.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,8.0,7.0,,Tây-Nam,0,21.019366899999998,105.80743819999999,31500.0,370.5882352941177,,,5e958eea208d0d6d7648fd78,39,7.0,Mặt phố - Mặt đường,,
13,29,33200,33200,65.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,5.0,,KXĐ,0,21.017649,105.830046,27000.0,415.3846153846154,,,5e958eea208d0d6d7648fdbc,6,10.0,Mặt phố - Mặt đường,,
14,31,33229,33229,70.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,5.0,,KXĐ,0,21.0092227,105.8143864,15000.0,214.28571428571428,,,5e958eea208d0d6d7648fdd0,23,8.0,Mặt phố - Mặt đường,,
15,32,33230,33230,60.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,4.2,,KXĐ,0,21.017649,105.830046,28500.0,475.0,,,5e958eea208d0d6d7648fd66,34,20.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e11f,Phường Cát Linh
16,35,33233,33233,45.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,6.0,,KXĐ,0,21.0092227,105.8143864,11000.0,244.44444444444446,,,5e958eea208d0d6d7648fdd0,23,12.0,Mặt phố - Mặt đường,,
17,36,33234,33234,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,4.0,4.0,,KXĐ,0,21.0092227,105.8143864,9700.0,194.0,,,5e958eea208d0d6d7648fdd0,23,6.0,Mặt phố - Mặt đường,,
18,38,33236,33236,68.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,6.0,6.0,,KXĐ,0,21.0092227,105.8143864,15000.0,220.5882352941176,,,5e958eea208d0d6d7648fdd0,23,12.0,Mặt phố - Mặt đường,,
19,39,33237,33237,95.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,4.0,4.0,,,0,21.017649,105.830046,20900.0,220.0,,,5e958eea208d0d6d7648fdc1,11,10.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e127,Phường Khâm Thiên
20,40,33238,33238,75.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,8.0,5.1,,Đông Bắc,0,21.017649,105.830046,31000.0,413.33333333333326,,,5e958eea208d0d6d7648fdcf,27,21.0,Mặt phố - Mặt đường,,
21,41,33255,33255,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,3.0,6.0,,KXĐ,0,21.0092227,105.8143864,11000.0,220.0,,,5e958eea208d0d6d7648fd7d,46,30.0,Mặt phố - Mặt đường,,
